43,47,53,64,27,11,1,20,0,1,0,0,0,25,45,7
42,17,31,32,46,68,1,86,0,1,0,0,0,23,34,34
50,23,38,10,58,15,7,15,0,1,0,0,0,40,31,27
71,35,50,30,42,34,76,17,0,1,0,0,0,38,68,50
73,28,10,39,19,29,9,87,0,1,0,0,0,45,63,60
30,26,42,20,10,49,32,47,0,1,0,0,0,20,31,44
44,16,57,32,56,43,15,38,0,1,0,0,0,24,32,36
49,53,3,38,19,67,7,49,0,1,0,0,0,36,61,42
50,25,9,33,25,79,14,45,0,1,0,0,0,24,47,48
39,18,49,30,59,48,47,18,0,1,0,0,0,28,38,32
62,37,45,35,45,21,7,64,0,1,0,0,0,22,47,78
43,61,50,46,34,30,50,56,0,1,0,0,0,25,66,7
31,43,24,32,41,19,7,53,0,1,0,0,0,35,43,15
49,18,21,22,55,45,45,31,0,1,0,0,0,31,39,33
56,26,36,32,59,59,18,96,0,1,0,0,0,44,49,46
50,33,27,21,26,38,15,50,0,1,0,0,0,44,48,24
32,26,12,44,40,54,43,32,0,1,0,0,0,40,28,21
77,23,62,27,21,36,5,52,0,1,0,0,0,60,44,77
67,32,57,49,53,38,16,16,0,1,0,0,0,47,33,85
53,49,13,88,55,27,53,52,0,1,0,0,0,27,67,40
47,35,16,55,53,66,44,8,0,1,0,0,0,29,51,47
62,41,21,57,32,66,16,26,0,1,0,0,0,62,52,38
49,27,15,71,32,17,11,73,0,1,0,0,0,44,44,36
37,36,28,24,26,60,54,20,0,1,0,0,0,13,37,21
71,29,22,47,12,40,84,33,0,1,0,0,0,44,60,41
52,39,20,55,26,12,27,23,0,1,0,0,0,27,54,58
43,40,28,32,42,70,10,9,0,1,0,0,0,48,41,14
40,15,50,15,57,71,18,25,0,1,0,0,0,29,35,38
60,41,40,60,38,64,43,46,0,1,0,0,0,47,52,64
72,30,22,27,37,56,16,67,0,1,0,0,0,44,49,41
40,65,33,62,14,9,88,26,0,1,0,0,0,33,67,15
26,11,12,30,25,64,29,13,0,1,0,0,0,31,17,28
28,34,34,7,7,64,15,45,0,1,0,0,0,37,30,24
84,83,29,57,19,54,53,23,0,1,0,0,0,82,88,44
